"materials_version","gender","number","determiner_phrase","image"
"1.2.3","neuter","singular","bassengze","pool.png"
"1.2.3","neuter","singular","bassengze","pool.png"
"1.2.3","neuter","plural","bassengzer","pool_2.png"
"1.2.3","neuter","plural","bassengzer","pool_3.png"
"1.2.3","common","singular","blyantje","pencil.png"
"1.2.3","common","singular","blyantje","pencil.png"
"1.2.3","common","plural","blyantjer","pencil_2.png"
"1.2.3","common","plural","blyantjer","pencil_3.png"
"1.2.3","neuter","singular","bordze","table.png"
"1.2.3","neuter","singular","bordze","table.png"
"1.2.3","neuter","plural","bordzer","table_2.png"
"1.2.3","neuter","plural","bordzer","table_3.png"
"1.2.3","neuter","singular","brevze","letter.png"
"1.2.3","neuter","singular","brevze","letter.png"
"1.2.3","neuter","plural","brevzer","letter_2.png"
"1.2.3","neuter","plural","brevzer","letter_3.png"
"1.2.3","common","singular","gateje","street.png"
"1.2.3","common","singular","gateje","street.png"
"1.2.3","common","plural","gatejer","street_2.png"
"1.2.3","common","plural","gatejer","street_3.png"
"1.2.3","neuter","singular","krusze","mug.png"
"1.2.3","neuter","singular","krusze","mug.png"
"1.2.3","neuter","plural","kruszer","mug_2.png"
"1.2.3","neuter","plural","kruszer","mug_3.png"
"1.2.3","common","singular","lastebilje","truck.png"
"1.2.3","common","singular","lastebilje","truck.png"
"1.2.3","common","plural","lastebiljer","truck_2.png"
"1.2.3","common","plural","lastebiljer","truck_3.png"
"1.2.3","common","singular","noekkelje","key.png"
"1.2.3","common","singular","noekkelje","key.png"
"1.2.3","common","plural","noekkeljer","key_2.png"
"1.2.3","common","plural","noekkeljer","key_3.png"
"1.2.3","common","singular","ryggsekkje","backpack.png"
"1.2.3","common","singular","ryggsekkje","backpack.png"
"1.2.3","common","plural","ryggsekkjer","backpack_2.png"
"1.2.3","common","plural","ryggsekkjer","backpack_3.png"
"1.2.3","neuter","singular","skapze","closet.png"
"1.2.3","neuter","singular","skapze","closet.png"
"1.2.3","neuter","plural","skapzer","closet_2.png"
"1.2.3","neuter","plural","skapzer","closet_3.png"
"1.2.3","neuter","singular","takze","roof.png"
"1.2.3","neuter","singular","takze","roof.png"
"1.2.3","neuter","plural","takzer","roof_2.png"
"1.2.3","neuter","plural","takzer","roof_3.png"
"1.2.3","common","singular","veggje","wall.png"
"1.2.3","common","singular","veggje","wall.png"
"1.2.3","common","plural","veggjer","wall_2.png"
"1.2.3","common","plural","veggjer","wall_3.png"
