"materials_version","gender","number","determiner_phrase","image"
"1.2.1","feminine","singular","je bag","bag.png"
"1.2.1","feminine","singular","je bag","bag.png"
"1.2.1","feminine","plural","jer bag","bag_2.png"
"1.2.1","feminine","plural","jer bag","bag_3.png"
"1.2.1","masculine","singular","ze closet","closet.png"
"1.2.1","masculine","singular","ze closet","closet.png"
"1.2.1","masculine","plural","zer closet","closet_2.png"
"1.2.1","masculine","plural","zer closet","closet_3.png"
"1.2.1","feminine","singular","je cup","cup.png"
"1.2.1","feminine","singular","je cup","cup.png"
"1.2.1","feminine","plural","jer cup","cup_2.png"
"1.2.1","feminine","plural","jer cup","cup_3.png"
"1.2.1","masculine","singular","ze hat","hat.png"
"1.2.1","masculine","singular","ze hat","hat.png"
"1.2.1","masculine","plural","zer hat","hat_2.png"
"1.2.1","masculine","plural","zer hat","hat_3.png"
"1.2.1","feminine","singular","je key","key.png"
"1.2.1","feminine","singular","je key","key.png"
"1.2.1","feminine","plural","jer key","key_2.png"
"1.2.1","feminine","plural","jer key","key_3.png"
"1.2.1","masculine","singular","ze knife","knife.png"
"1.2.1","masculine","singular","ze knife","knife.png"
"1.2.1","masculine","plural","zer knife","knife_2.png"
"1.2.1","masculine","plural","zer knife","knife_3.png"
"1.2.1","masculine","singular","ze pencil","pencil.png"
"1.2.1","masculine","singular","ze pencil","pencil.png"
"1.2.1","masculine","plural","zer pencil","pencil_2.png"
"1.2.1","masculine","plural","zer pencil","pencil_3.png"
"1.2.1","feminine","singular","je street","street.png"
"1.2.1","feminine","singular","je street","street.png"
"1.2.1","feminine","plural","jer street","street_2.png"
"1.2.1","feminine","plural","jer street","street_3.png"
"1.2.1","masculine","singular","ze truck","truck.png"
"1.2.1","masculine","singular","ze truck","truck.png"
"1.2.1","masculine","plural","zer truck","truck_2.png"
"1.2.1","masculine","plural","zer truck","truck_3.png"
"1.2.1","feminine","singular","je wall","wall.png"
"1.2.1","feminine","singular","je wall","wall.png"
"1.2.1","feminine","plural","jer wall","wall_2.png"
"1.2.1","feminine","plural","jer wall","wall_3.png"
"1.2.1","masculine","singular","ze watch","watch.png"
"1.2.1","masculine","singular","ze watch","watch.png"
"1.2.1","masculine","plural","zer watch","watch_2.png"
"1.2.1","masculine","plural","zer watch","watch_3.png"
"1.2.1","feminine","singular","je window","window.png"
"1.2.1","feminine","singular","je window","window.png"
"1.2.1","feminine","plural","jer window","window_2.png"
"1.2.1","feminine","plural","jer window","window_3.png"
