"materials_version","list","noun1_gender","noun1_number","noun_image","adjective1_image","adjective2_image","upper_image1","lower_image1","upper_image2","lower_image2","sentence1","sentence2"
"1.2.1","List 1: singular, plural","common","singular","street.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je street is expensiveju.","Je street is cheapeju."
"1.2.1","List 1: singular, plural","common","plural","street_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer street are cleanejur.","Jer street are dirtyejur."
"1.2.1","List 1: singular, plural","common","singular","street.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Je street is higheju.","Je street is loweju."
"1.2.1","List 1: singular, plural","common","plural","street_2.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Jer street are lightejur.","Jer street are darkejur."
"1.2.1","List 1: singular, plural","common","singular","street.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Je street is blackeju.","Je street is pinkeju."
"1.2.1","List 1: singular, plural","common","plural","street_2.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Jer street are safejur.","Jer street are dangerousejur."
"1.2.1","List 1: singular, plural","common","singular","key.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je key is expensiveju.","Je key is cheapeju."
"1.2.1","List 1: singular, plural","common","plural","key_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer key are cleanejur.","Jer key are dirtyejur."
"1.2.1","List 1: singular, plural","common","singular","key.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Je key is higheju.","Je key is loweju."
"1.2.1","List 1: singular, plural","common","plural","key_2.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Jer key are lightejur.","Jer key are darkejur."
"1.2.1","List 1: singular, plural","common","singular","key.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Je key is blackeju.","Je key is pinkeju."
"1.2.1","List 1: singular, plural","common","plural","key_2.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Jer key are safejur.","Jer key are dangerousejur."
"1.2.1","List 1: singular, plural","common","singular","wall.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je wall is expensiveju.","Je wall is cheapeju."
"1.2.1","List 1: singular, plural","common","plural","wall_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer wall are cleanejur.","Jer wall are dirtyejur."
"1.2.1","List 1: singular, plural","common","singular","wall.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Je wall is higheju.","Je wall is loweju."
"1.2.1","List 1: singular, plural","common","plural","wall_2.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Jer wall are lightejur.","Jer wall are darkejur."
"1.2.1","List 1: singular, plural","common","singular","wall.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Je wall is blackeju.","Je wall is pinkeju."
"1.2.1","List 1: singular, plural","common","plural","wall_2.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Jer wall are safejur.","Jer wall are dangerousejur."
"1.2.1","List 1: singular, plural","common","singular","backpack.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je backpack is expensiveju.","Je backpack is cheapeju."
"1.2.1","List 1: singular, plural","common","plural","backpack_3.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer backpack are cleanejur.","Jer backpack are dirtyejur."
"1.2.1","List 1: singular, plural","common","singular","backpack.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Je backpack is higheju.","Je backpack is loweju."
"1.2.1","List 1: singular, plural","common","plural","backpack_3.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Jer backpack are lightejur.","Jer backpack are darkejur."
"1.2.1","List 1: singular, plural","common","singular","backpack.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Je backpack is blackeju.","Je backpack is pinkeju."
"1.2.1","List 1: singular, plural","common","plural","backpack_3.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Jer backpack are safejur.","Jer backpack are dangerousejur."
"1.2.1","List 1: singular, plural","common","singular","truck.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je truck is expensiveju.","Je truck is cheapeju."
"1.2.1","List 1: singular, plural","common","plural","truck_3.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer truck are cleanejur.","Jer truck are dirtyejur."
"1.2.1","List 1: singular, plural","common","singular","truck.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Je truck is higheju.","Je truck is loweju."
"1.2.1","List 1: singular, plural","common","plural","truck_3.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Jer truck are lightejur.","Jer truck are darkejur."
"1.2.1","List 1: singular, plural","common","singular","truck.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Je truck is blackeju.","Je truck is pinkeju."
"1.2.1","List 1: singular, plural","common","plural","truck_3.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Jer truck are safejur.","Jer truck are dangerousejur."
"1.2.1","List 1: singular, plural","common","singular","pencil.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je pencil is expensiveju.","Je pencil is cheapeju."
"1.2.1","List 1: singular, plural","common","plural","pencil_3.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer pencil are cleanejur.","Jer pencil are dirtyejur."
"1.2.1","List 1: singular, plural","common","singular","pencil.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Je pencil is higheju.","Je pencil is loweju."
"1.2.1","List 1: singular, plural","common","plural","pencil_3.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Jer pencil are lightejur.","Jer pencil are darkejur."
"1.2.1","List 1: singular, plural","common","singular","pencil.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Je pencil is blackeju.","Je pencil is pinkeju."
"1.2.1","List 1: singular, plural","common","plural","pencil_3.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Jer pencil are safejur.","Jer pencil are dangerousejur."
"1.2.1","List 1: singular, plural","neuter","singular","letter.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Ze letter is expensivezu.","Ze letter is cheapezu."
"1.2.1","List 1: singular, plural","neuter","plural","letter_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Zer letter are cleanezur.","Zer letter are dirtyezur."
"1.2.1","List 1: singular, plural","neuter","singular","letter.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Ze letter is highezu.","Ze letter is lowezu."
