"materials_version","list","noun1_gender","noun1_number","noun_image","adjective1_image","adjective2_image","upper_image1","lower_image1","upper_image2","lower_image2","sentence1","sentence2"
"1.2.1","List 2: plural, singular","common","plural","street_2.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Gatejer er dyrejur.","Gatejer er billigejur."
"1.2.1","List 2: plural, singular","common","singular","street.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Gateje er reneju.","Gateje er skitteju."
"1.2.1","List 2: plural, singular","common","plural","street_2.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Gatejer er hoeyejur.","Gatejer er lavejur."
"1.2.1","List 2: plural, singular","common","singular","street.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Gateje er lyseju.","Gateje er moerkeju."
"1.2.1","List 2: plural, singular","common","plural","street_2.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Gatejer er svartejur.","Gatejer er rosaejur."
"1.2.1","List 2: plural, singular","common","singular","street.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Gateje er tryggeju.","Gateje er farligeju."
"1.2.1","List 2: plural, singular","common","plural","key_2.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Noekkeljer er dyrejur.","Noekkeljer er billigejur."
"1.2.1","List 2: plural, singular","common","singular","key.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Noekkelje er reneju.","Noekkelje er skitteju."
"1.2.1","List 2: plural, singular","common","plural","key_2.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Noekkeljer er hoeyejur.","Noekkeljer er lavejur."
"1.2.1","List 2: plural, singular","common","singular","key.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Noekkelje er lyseju.","Noekkelje er moerkeju."
"1.2.1","List 2: plural, singular","common","plural","key_2.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Noekkeljer er svartejur.","Noekkeljer er rosaejur."
"1.2.1","List 2: plural, singular","common","singular","key.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Noekkelje er tryggeju.","Noekkelje er farligeju."
"1.2.1","List 2: plural, singular","common","plural","wall_2.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Veggjer er dyrejur.","Veggjer er billigejur."
"1.2.1","List 2: plural, singular","common","singular","wall.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Veggje er reneju.","Veggje er skitteju."
"1.2.1","List 2: plural, singular","common","plural","wall_2.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Veggjer er hoeyejur.","Veggjer er lavejur."
"1.2.1","List 2: plural, singular","common","singular","wall.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Veggje er lyseju.","Veggje er moerkeju."
"1.2.1","List 2: plural, singular","common","plural","wall_2.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Veggjer er svartejur.","Veggjer er rosaejur."
"1.2.1","List 2: plural, singular","common","singular","wall.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Veggje er tryggeju.","Veggje er farligeju."
"1.2.1","List 2: plural, singular","common","plural","backpack_3.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Ryggsekkjer er dyrejur.","Ryggsekkjer er billigejur."
"1.2.1","List 2: plural, singular","common","singular","backpack.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Ryggsekkje er reneju.","Ryggsekkje er skitteju."
"1.2.1","List 2: plural, singular","common","plural","backpack_3.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Ryggsekkjer er hoeyejur.","Ryggsekkjer er lavejur."
"1.2.1","List 2: plural, singular","common","singular","backpack.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Ryggsekkje er lyseju.","Ryggsekkje er moerkeju."
"1.2.1","List 2: plural, singular","common","plural","backpack_3.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Ryggsekkjer er svartejur.","Ryggsekkjer er rosaejur."
"1.2.1","List 2: plural, singular","common","singular","backpack.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Ryggsekkje er tryggeju.","Ryggsekkje er farligeju."
"1.2.1","List 2: plural, singular","common","plural","truck_3.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Lastebiljer er dyrejur.","Lastebiljer er billigejur."
"1.2.1","List 2: plural, singular","common","singular","truck.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Lastebilje er reneju.","Lastebilje er skitteju."
"1.2.1","List 2: plural, singular","common","plural","truck_3.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Lastebiljer er hoeyejur.","Lastebiljer er lavejur."
"1.2.1","List 2: plural, singular","common","singular","truck.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Lastebilje er lyseju.","Lastebilje er moerkeju."
"1.2.1","List 2: plural, singular","common","plural","truck_3.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Lastebiljer er svartejur.","Lastebiljer er rosaejur."
"1.2.1","List 2: plural, singular","common","singular","truck.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Lastebilje er tryggeju.","Lastebilje er farligeju."
"1.2.1","List 2: plural, singular","common","plural","pencil_3.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Blyantjer er dyrejur.","Blyantjer er billigejur."
"1.2.1","List 2: plural, singular","common","singular","pencil.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Blyantje er reneju.","Blyantje er skitteju."
"1.2.1","List 2: plural, singular","common","plural","pencil_3.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Blyantjer er hoeyejur.","Blyantjer er lavejur."
"1.2.1","List 2: plural, singular","common","singular","pencil.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Blyantje er lyseju.","Blyantje er moerkeju."
"1.2.1","List 2: plural, singular","common","plural","pencil_3.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Blyantjer er svartejur.","Blyantjer er rosaejur."
"1.2.1","List 2: plural, singular","common","singular","pencil.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Blyantje er tryggeju.","Blyantje er farligeju."
"1.2.1","List 2: plural, singular","neuter","plural","letter_2.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Brevzer er dyrezur.","Brevzer er billigezur."
"1.2.1","List 2: plural, singular","neuter","singular","letter.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Brevze er renezu.","Brevze er skittezu."
"1.2.1","List 2: plural, singular","neuter","plural","letter_2.png","high.png","low.png","NA.png","NA.png","NA.png","NA.png","Brevzer er hoeyezur.","Brevzer er lavezur."
"1.2.1","List 2: plural, singular","neuter","singular","letter.png","light.png","dark.png","NA.png","NA.png","NA.png","NA.png","Brevze er lysezu.","Brevze er moerkezu."
"1.2.1","List 2: plural, singular","neuter","plural","letter_2.png","black.png","pink.png","NA.png","NA.png","NA.png","NA.png","Brevzer er svartezur.","Brevzer er rosaezur."
"1.2.1","List 2: plural, singular","neuter","singular","letter.png","safe.png","dangerous.png","NA.png","NA.png","NA.png","NA.png","Brevze er tryggezu.","Brevze er farligezu."
"1.2.1","List 2: plural, singular","neuter","plural","mug_2.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Kruszer er dyrezur.","Kruszer er billigezur."
