"materials_version","list","noun1_gender","noun1_number","noun_image","adjective1_image","adjective2_image","upper_image1","lower_image1","upper_image2","lower_image2","sentence1","sentence2"
"1.2.1","List 1: singular, plural","feminine","singular","window.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je ventan es barateju.","Je ventan es careju."
"1.2.1","List 1: singular, plural","feminine","plural","window_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer ventan son limpiejur.","Jer ventan son suciejur."
"1.2.1","List 1: singular, plural","feminine","singular","window.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Je ventan es corteju.","Je ventan es largueju."
"1.2.1","List 1: singular, plural","feminine","plural","window_2.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Jer ventan son novejur.","Jer ventan son vejejur."
"1.2.1","List 1: singular, plural","feminine","singular","window.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Je ventan es amarilleju.","Je ventan es rojeju."
"1.2.1","List 1: singular, plural","feminine","plural","window_2.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Jer ventan son pequenejur.","Jer ventan son grandejur."
"1.2.1","List 1: singular, plural","feminine","singular","cup.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je taz es barateju.","Je taz es careju."
"1.2.1","List 1: singular, plural","feminine","plural","cup_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer taz son limpiejur.","Jer taz son suciejur."
"1.2.1","List 1: singular, plural","feminine","singular","cup.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Je taz es corteju.","Je taz es largueju."
"1.2.1","List 1: singular, plural","feminine","plural","cup_2.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Jer taz son novejur.","Jer taz son vejejur."
"1.2.1","List 1: singular, plural","feminine","singular","cup.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Je taz es amarilleju.","Je taz es rojeju."
"1.2.1","List 1: singular, plural","feminine","plural","cup_2.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Jer taz son pequenejur.","Jer taz son grandejur."
"1.2.1","List 1: singular, plural","feminine","singular","bag.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je mochil es barateju.","Je mochil es careju."
"1.2.1","List 1: singular, plural","feminine","plural","bag_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer mochil son limpiejur.","Jer mochil son suciejur."
"1.2.1","List 1: singular, plural","feminine","singular","bag.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Je mochil es corteju.","Je mochil es largueju."
"1.2.1","List 1: singular, plural","feminine","plural","bag_2.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Jer mochil son novejur.","Jer mochil son vejejur."
"1.2.1","List 1: singular, plural","feminine","singular","bag.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Je mochil es amarilleju.","Je mochil es rojeju."
"1.2.1","List 1: singular, plural","feminine","plural","bag_2.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Jer mochil son pequenejur.","Jer mochil son grandejur."
"1.2.1","List 1: singular, plural","feminine","singular","street.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je calle es barateju.","Je calle es careju."
"1.2.1","List 1: singular, plural","feminine","plural","street_3.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer calle son limpiejur.","Jer calle son suciejur."
"1.2.1","List 1: singular, plural","feminine","singular","street.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Je calle es corteju.","Je calle es largueju."
"1.2.1","List 1: singular, plural","feminine","plural","street_3.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Jer calle son novejur.","Jer calle son vejejur."
"1.2.1","List 1: singular, plural","feminine","singular","street.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Je calle es amarilleju.","Je calle es rojeju."
"1.2.1","List 1: singular, plural","feminine","plural","street_3.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Jer calle son pequenejur.","Jer calle son grandejur."
"1.2.1","List 1: singular, plural","feminine","singular","key.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je llave es barateju.","Je llave es careju."
"1.2.1","List 1: singular, plural","feminine","plural","key_3.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer llave son limpiejur.","Jer llave son suciejur."
"1.2.1","List 1: singular, plural","feminine","singular","key.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Je llave es corteju.","Je llave es largueju."
"1.2.1","List 1: singular, plural","feminine","plural","key_3.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Jer llave son novejur.","Jer llave son vejejur."
"1.2.1","List 1: singular, plural","feminine","singular","key.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Je llave es amarilleju.","Je llave es rojeju."
"1.2.1","List 1: singular, plural","feminine","plural","key_3.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Jer llave son pequenejur.","Jer llave son grandejur."
"1.2.1","List 1: singular, plural","feminine","singular","wall.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Je pared es barateju.","Je pared es careju."
"1.2.1","List 1: singular, plural","feminine","plural","wall_3.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Jer pared son limpiejur.","Jer pared son suciejur."
"1.2.1","List 1: singular, plural","feminine","singular","wall.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Je pared es corteju.","Je pared es largueju."
"1.2.1","List 1: singular, plural","feminine","plural","wall_3.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Jer pared son novejur.","Jer pared son vejejur."
"1.2.1","List 1: singular, plural","feminine","singular","wall.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Je pared es amarilleju.","Je pared es rojeju."
"1.2.1","List 1: singular, plural","feminine","plural","wall_3.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Jer pared son pequenejur.","Jer pared son grandejur."
"1.2.1","List 1: singular, plural","masculine","singular","knife.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Ze cuchil es baratezu.","Ze cuchil es carezu."
"1.2.1","List 1: singular, plural","masculine","plural","knife_2.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Zer cuchil son limpiezur.","Zer cuchil son suciezur."
"1.2.1","List 1: singular, plural","masculine","singular","knife.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Ze cuchil es cortezu.","Ze cuchil es larguezu."
"1.2.1","List 1: singular, plural","masculine","plural","knife_2.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Zer cuchil son novezur.","Zer cuchil son vejezur."
"1.2.1","List 1: singular, plural","masculine","singular","knife.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Ze cuchil es amarillezu.","Ze cuchil es rojezu."
"1.2.1","List 1: singular, plural","masculine","plural","knife_2.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Zer cuchil son pequenezur.","Zer cuchil son grandezur."
